institutionCode,collectionCode,locationID,recordedBy,verbatimEventDate,continent,country,stateProvince,county,fieldNumber,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,stratGroup,stratFormation,stratMember,stratBed,bioZone,lithology
CASG,Fossil,71500,,,North America,USA,California,Kings,,Cenozoic,Cenozoic,Paleogene,Neogene,Oligocene,Miocene,,,,Temblor,,,,
CASG,Fossil,71501,,,North America,USA,California,Fresno,,,,,,,,,,,,,,,
CASG,Fossil,71502,,,North America,USA,Arizona,,,,,,,,,,,,,,,,
CASG,Fossil,71503,,,North America,USA,California,San Mateo,,Cenozoic,Cenozoic,Neogene,Quaternary,Pliocene,Pleistocene,,,,Merced,,,,
CASG,Fossil,71504,,,North America,USA,California,Marin,,Cenozoic,Cenozoic,Quaternary,Quaternary,Pleistocene,Pleistocene,,,,Millerton,,,,
CASG,Fossil,71507,,,North America,USA,Florida,Manatee,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,,,,,
CASG,Fossil,71508,,,North America,USA,Minnesota,Goodhue,,Paleozoic,Paleozoic,Ordovician,Ordovician,,,,,,Decorah shale,,,,
CASG,Fossil,71509,,,North America,USA,California,Napa,,,,,,,,,,,,,,,
CASG,Fossil,71510,,,North America,USA,California,Marin ,,Cenozoic,Cenozoic,Neogene,Neogene,Pliocene,Pliocene,,,,,,,,
CASG,Fossil,71511,,,North America,USA,California,San Bernardino,,Paleozoic,Paleozoic,Cambrian,Cambrian,,,,,,Chambless,,,,
CASG,Fossil,71515,,,North America,USA,Florida,,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,Chipola,,,,
CASG,unknown,71516,,,North America,USA,California,Sonoma ?,26804,,,,,,,,,,,,,,
CASG,Fossil,71517,,,South America,Brazil,Rio Grande do Sul,,,Mesozoic,Mesozoic,Cretaceous,Cretaceous,,,Cenomanian,Cenomanian,,Santana,,,,
CASG,Fossil,71519,,,North America,Panama,,,"RT-10, 5",,,,,,,,,,,,,,
CASG,Fossil,71520,,,North America,Panama,,,,,,,,,,,,,,,,,
CASG,Fossil,71522,,,North America,USA,California,Kern,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,,,,,
CASG,Fossil,71523,,,North America,USA,California,Kern,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,,,,,
CASG,Fossil,71524,,,North America,USA,California,Santa Cruz,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,Monterey,,,,
CASG,Fossil,71526,,,North America,USA,California,San Luis Obispo,436,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,Vaqueros,,,,
CASG,Fossil,71527,,,North America,USA,California,Kern,438,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,Temblor,,,,
CASG,Fossil,71528,,,North America,USA,California,Monterey,200,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,Vaqueros,,,,
CASG,Fossil,71531,,,North America,USA,California,Monterey,447,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,Vaqueros,,,,
CASG,Fossil,71532,,,North America,USA,California,Los Angeles,,Cenozoic,Cenozoic,Neogene,Neogene,Pliocene,Pliocene,,,,San Pedro,Lomita Marl,,,
CASG,Fossil,71533,,,North America,USA,California,Los Angeles,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Pliocene,,,,Monterey-Puente,,,,fine grained sandstone
CASG,Fossil,71534,JZ Gilbert,,North America,USA,California,Los Angeles,Jordan XXIII,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,Modelo,,,,
